Tender ID,Project Name,Budget,Deadline (Days),Key Requirements,Penalties,Region,Environmental Impact Score,Energy Use Reduction Goal (%),Waste Reduction Goal (%),Renewable Materials Used (%)
Tender_209,Project_209,32395660,171,Waste reduction,$347865 per day,Coastal,3,37,31,35
Tender_210,Project_210,37396694,155,Energy-efficient design,$181560 per day,Urban,3,14,21,56
Tender_211,Project_211,11581482,236,Waste reduction,$446639 per day,Rural,4,39,14,46
Tender_212,Project_212,18287649,479,Energy-efficient design,$361986 per day,Urban,4,23,32,62
Tender_213,Project_213,35911588,455,Energy-efficient design,$211192 per day,Rural,10,26,14,77
Tender_214,Project_214,41207828,36,Low-carbon materials,$165777 per day,Coastal,10,34,41,23
Tender_215,Project_215,28896306,281,Waste reduction,$93764 per day,Rural,9,12,22,68
Tender_216,Project_216,14713536,515,Low-carbon materials,$399169 per day,Rural,3,44,53,45
Tender_217,Project_217,36691547,379,Waste reduction,$422040 per day,Urban,2,39,28,34
Tender_218,Project_218,49484844,323,Energy-efficient design,$359767 per day,Coastal,6,23,60,22
Tender_219,Project_219,46796233,547,Energy-efficient design,$375583 per day,Urban,10,37,34,22
Tender_220,Project_220,13999019,205,Waste reduction,$81005 per day,Rural,1,22,36,49
Tender_221,Project_221,48345195,117,Waste reduction,$165635 per day,Coastal,1,15,11,57
Tender_222,Project_222,21418926,302,Energy-efficient design,$486363 per day,Coastal,8,26,60,53
Tender_223,Project_223,27275919,411,Low-carbon materials,$15954 per day,Rural,2,46,37,80
Tender_224,Project_224,45576148,454,Low-carbon materials,$182756 per day,Rural,4,22,44,80
Tender_225,Project_225,44112578,399,Energy-efficient design,$335627 per day,Rural,3,15,56,31
Tender_226,Project_226,25559825,674,Waste reduction,$381940 per day,Urban,1,43,46,33
Tender_227,Project_227,29900398,710,Low-carbon materials,$350244 per day,Rural,5,15,50,65
Tender_228,Project_228,35233926,281,Waste reduction,$89341 per day,Urban,5,22,46,33
Tender_229,Project_229,30798722,185,Energy-efficient design,$39156 per day,Urban,9,38,55,60
Tender_230,Project_230,8620454,572,Waste reduction,$281890 per day,Urban,5,18,57,69
Tender_231,Project_231,17136664,461,Low-carbon materials,$105761 per day,Urban,6,19,19,72
Tender_232,Project_232,15579183,263,Waste reduction,$132438 per day,Coastal,7,47,57,66
Tender_233,Project_233,4796705,171,Low-carbon materials,$186597 per day,Coastal,8,22,26,55
Tender_234,Project_234,23188538,469,Waste reduction,$446024 per day,Coastal,8,43,40,57
Tender_235,Project_235,1911585,453,Waste reduction,$131701 per day,Urban,2,10,16,76
Tender_236,Project_236,39980729,449,Low-carbon materials,$26242 per day,Rural,6,29,32,24
Tender_237,Project_237,37673044,499,Waste reduction,$308963 per day,Urban,5,31,40,50
Tender_238,Project_238,15942738,558,Low-carbon materials,$498892 per day,Urban,2,10,59,52
Tender_239,Project_239,39989547,400,Low-carbon materials,$264006 per day,Rural,8,24,30,51
Tender_240,Project_240,15278538,60,Waste reduction,$233674 per day,Urban,7,10,36,68
Tender_241,Project_241,982569,483,Low-carbon materials,$234451 per day,Coastal,7,43,16,33
Tender_242,Project_242,5264265,179,Low-carbon materials,$329098 per day,Urban,1,24,11,62
Tender_243,Project_243,48002401,40,Low-carbon materials,$429639 per day,Urban,5,27,44,60
Tender_244,Project_244,42852602,559,Waste reduction,$63637 per day,Coastal,6,46,12,43
Tender_245,Project_245,4450951,101,Low-carbon materials,$336309 per day,Rural,7,17,52,75
Tender_246,Project_246,15864023,116,Waste reduction,$146849 per day,Rural,9,15,14,46
Tender_247,Project_247,5023159,376,Low-carbon materials,$302919 per day,Rural,10,35,12,34
Tender_248,Project_248,2608087,352,Waste reduction,$484870 per day,Coastal,4,28,23,59
Tender_249,Project_249,22674680,441,Energy-efficient design,$335289 per day,Urban,10,41,11,31
Tender_250,Project_250,5255156,198,Low-carbon materials,$220071 per day,Urban,2,36,20,24
Tender_251,Project_251,35004433,474,Low-carbon materials,$75589 per day,Urban,2,26,21,26
Tender_252,Project_252,16472220,92,Energy-efficient design,$489919 per day,Urban,7,47,16,52
Tender_253,Project_253,19188292,432,Low-carbon materials,$307997 per day,Coastal,5,21,55,80
Tender_254,Project_254,45394338,67,Waste reduction,$443734 per day,Urban,6,40,18,49
Tender_255,Project_255,33075615,706,Low-carbon materials,$417260 per day,Coastal,8,22,23,55
Tender_256,Project_256,14877188,686,Waste reduction,$295841 per day,Coastal,7,45,47,77
Tender_257,Project_257,36687376,184,Low-carbon materials,$492983 per day,Coastal,8,36,31,68
Tender_258,Project_258,9379297,618,Waste reduction,$438057 per day,Urban,8,45,33,26
Tender_259,Project_259,49043368,89,Low-carbon materials,$27802 per day,Urban,7,16,16,67
Tender_260,Project_260,38822053,676,Waste reduction,$350281 per day,Coastal,6,23,21,44
Tender_261,Project_261,39168909,706,Low-carbon materials,$459475 per day,Rural,8,24,16,29
Tender_262,Project_262,32220415,562,Energy-efficient design,$203997 per day,Rural,7,40,36,44
Tender_263,Project_263,16807268,332,Low-carbon materials,$220920 per day,Rural,7,18,48,61
Tender_264,Project_264,32240676,459,Energy-efficient design,$289942 per day,Rural,7,20,42,75
Tender_265,Project_265,27817331,441,Low-carbon materials,$79053 per day,Rural,5,50,24,56
Tender_266,Project_266,13278193,596,Energy-efficient design,$471030 per day,Urban,8,41,18,53
Tender_267,Project_267,6830097,341,Low-carbon materials,$12261 per day,Rural,7,45,22,50
Tender_268,Project_268,7004916,351,Low-carbon materials,$54656 per day,Rural,1,16,19,48
Tender_269,Project_269,44723583,382,Waste reduction,$258438 per day,Coastal,9,45,45,34
Tender_270,Project_270,29427355,38,Waste reduction,$355443 per day,Rural,6,14,32,41
Tender_271,Project_271,24276507,316,Low-carbon materials,$201100 per day,Coastal,3,33,26,67
Tender_272,Project_272,28925880,570,Energy-efficient design,$138977 per day,Urban,1,32,16,63
Tender_273,Project_273,28088606,655,Energy-efficient design,$339225 per day,Coastal,9,23,26,27
Tender_274,Project_274,31841494,180,Energy-efficient design,$11456 per day,Coastal,6,47,18,79
Tender_275,Project_275,49427452,443,Energy-efficient design,$245179 per day,Urban,3,21,20,23
Tender_276,Project_276,4135366,486,Waste reduction,$332797 per day,Urban,10,33,36,42
Tender_277,Project_277,45688729,689,Waste reduction,$224167 per day,Rural,7,42,24,74
Tender_278,Project_278,44352655,240,Waste reduction,$224454 per day,Rural,5,44,50,63
Tender_279,Project_279,43864389,587,Energy-efficient design,$62693 per day,Rural,6,25,18,70
Tender_280,Project_280,7104711,669,Energy-efficient design,$285876 per day,Urban,6,12,36,71
Tender_281,Project_281,4567647,663,Waste reduction,$235765 per day,Rural,3,21,57,60
Tender_282,Project_282,27519456,697,Low-carbon materials,$309825 per day,Rural,2,15,57,59
Tender_283,Project_283,49369586,482,Waste reduction,$184695 per day,Coastal,8,22,18,49
Tender_284,Project_284,23270212,383,Low-carbon materials,$261811 per day,Coastal,6,35,17,33
Tender_285,Project_285,7832920,694,Low-carbon materials,$90182 per day,Urban,1,41,28,39
Tender_286,Project_286,17187044,444,Energy-efficient design,$407250 per day,Urban,5,14,26,39
Tender_287,Project_287,13357392,232,Energy-efficient design,$410808 per day,Rural,10,36,30,69
Tender_288,Project_288,13264703,338,Low-carbon materials,$351645 per day,Urban,10,13,22,77
Tender_289,Project_289,36489527,116,Waste reduction,$489908 per day,Rural,9,25,40,46
Tender_290,Project_290,30605945,67,Waste reduction,$394061 per day,Coastal,9,25,16,53
Tender_291,Project_291,9907474,580,Low-carbon materials,$346569 per day,Coastal,8,42,31,41
Tender_292,Project_292,28811997,372,Energy-efficient design,$414353 per day,Coastal,9,29,51,71
Tender_293,Project_293,12813673,429,Energy-efficient design,$162242 per day,Rural,3,14,12,20
Tender_294,Project_294,19192848,159,Energy-efficient design,$455421 per day,Rural,10,40,27,22
Tender_295,Project_295,31546444,562,Energy-efficient design,$453875 per day,Rural,9,43,30,59
Tender_296,Project_296,17264226,583,Low-carbon materials,$13527 per day,Urban,9,39,17,38
Tender_297,Project_297,5558994,320,Energy-efficient design,$172330 per day,Urban,8,35,49,48
Tender_298,Project_298,30238000,248,Low-carbon materials,$139975 per day,Urban,3,10,35,59
Tender_299,Project_299,37431706,125,Energy-efficient design,$427020 per day,Coastal,8,19,41,63
Tender_300,Project_300,7070543,553,Energy-efficient design,$171141 per day,Rural,6,42,44,36
Tender_301,Project_301,3894925,595,Low-carbon materials,$267295 per day,Urban,5,41,38,49
Tender_302,Project_302,44264702,349,Low-carbon materials,$145071 per day,Rural,5,29,41,68
Tender_303,Project_303,36778242,563,Low-carbon materials,$73185 per day,Coastal,3,48,45,62
Tender_304,Project_304,1490382,378,Waste reduction,$382675 per day,Rural,3,10,42,68
Tender_305,Project_305,6758758,680,Energy-efficient design,$95651 per day,Rural,1,40,12,75
Tender_306,Project_306,16363159,193,Waste reduction,$176717 per day,Coastal,7,20,59,57
Tender_307,Project_307,11660949,53,Energy-efficient design,$128247 per day,Coastal,2,36,15,30
Tender_308,Project_308,27773985,58,Low-carbon materials,$48033 per day,Urban,9,26,53,57
Tender_309,Project_309,33090824,582,Energy-efficient design,$354272 per day,Urban,6,43,17,34
